,,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
postfix,unit length,compound unit,,,,,,,,,,,,
所,3,実験所,6,0,1.0,0.0,6,0,1.0,0.0,6,0,1.0,0.0
所,3,市役所,573,0,1.0,0.0,0,573,0.0,1.0,0,573,0.0,1.0
所,3,案内所,40,0,1.0,0.0,40,0,1.0,0.0,40,0,1.0,0.0
所,3,研究所,702,0,1.0,0.0,702,0,1.0,0.0,702,0,1.0,0.0
者,2,他者,637,0,1.0,0.0,637,0,1.0,0.0,637,0,1.0,0.0
者,2,前者,515,0,1.0,0.0,515,0,1.0,0.0,515,0,1.0,0.0
者,2,学者,594,0,1.0,0.0,594,0,1.0,0.0,594,0,1.0,0.0
者,2,役者,610,0,1.0,0.0,610,0,1.0,0.0,610,0,1.0,0.0
者,2,後者,512,0,1.0,0.0,512,0,1.0,0.0,512,0,1.0,0.0
者,2,患者,716,0,1.0,0.0,716,0,1.0,0.0,716,0,1.0,0.0
者,2,業者,638,0,1.0,0.0,638,0,1.0,0.0,638,0,1.0,0.0
者,2,死者,642,0,1.0,0.0,642,0,1.0,0.0,642,0,1.0,0.0
者,2,筆者,535,0,1.0,0.0,535,0,1.0,0.0,535,0,1.0,0.0
者,2,著者,532,0,1.0,0.0,532,0,1.0,0.0,532,0,1.0,0.0
者,3,使用者,636,0,1.0,0.0,636,0,1.0,0.0,636,0,1.0,0.0
者,3,債務者,742,0,1.0,0.0,742,0,1.0,0.0,742,0,1.0,0.0
者,3,労働者,706,0,1.0,0.0,706,0,1.0,0.0,706,0,1.0,0.0
者,3,教育者,188,0,1.0,0.0,188,0,1.0,0.0,188,0,1.0,0.0
者,3,消費者,669,0,1.0,0.0,669,0,1.0,0.0,669,0,1.0,0.0
者,3,研究者,602,0,1.0,0.0,602,0,1.0,0.0,602,0,1.0,0.0
者,3,筆記者,11,0,1.0,0.0,11,0,1.0,0.0,11,0,1.0,0.0
者,3,雇用者,283,0,1.0,0.0,283,0,1.0,0.0,283,0,1.0,0.0
院,2,上院,190,0,1.0,0.0,190,0,1.0,0.0,190,0,1.0,0.0
院,2,入院,661,0,1.0,0.0,661,0,1.0,0.0,661,0,1.0,0.0
院,2,子院,9,0,1.0,0.0,9,0,1.0,0.0,9,0,1.0,0.0
院,2,寺院,639,0,1.0,0.0,639,0,1.0,0.0,639,0,1.0,0.0
院,2,当院,88,0,1.0,0.0,88,0,1.0,0.0,88,0,1.0,0.0
院,2,法院,4,0,1.0,0.0,4,0,1.0,0.0,4,0,1.0,0.0
院,2,病院,632,0,1.0,0.0,632,0,1.0,0.0,632,0,1.0,0.0
院,2,議院,87,0,1.0,0.0,87,0,1.0,0.0,87,0,1.0,0.0
院,2,転院,73,0,1.0,0.0,73,0,1.0,0.0,73,0,1.0,0.0
院,2,退院,317,0,1.0,0.0,317,0,1.0,0.0,317,0,1.0,0.0
院,3,人事院,240,0,1.0,0.0,240,0,1.0,0.0,239,1,0.9958333333333333,0.004166666666666667
院,3,伝法院,12,0,1.0,0.0,0,12,0.0,1.0,12,0,1.0,0.0
院,3,参議院,402,0,1.0,0.0,402,0,1.0,0.0,402,0,1.0,0.0
院,3,四合院,0,41,0.0,1.0,0,41,0.0,1.0,41,0,1.0,0.0
院,3,大学院,684,0,1.0,0.0,684,0,1.0,0.0,681,3,0.9956140350877193,0.0043859649122807015
院,3,密蔵院,0,7,0.0,1.0,0,7,0.0,1.0,7,0,1.0,0.0
院,3,感化院,33,0,1.0,0.0,33,0,1.0,0.0,33,0,1.0,0.0
院,3,美容院,483,0,1.0,0.0,483,0,1.0,0.0,483,0,1.0,0.0
院,3,衆議院,654,0,1.0,0.0,654,0,1.0,0.0,652,2,0.9969418960244648,0.0030581039755351682
館,2,休館,301,0,1.0,0.0,301,0,1.0,0.0,301,0,1.0,0.0
館,2,会館,125,0,1.0,0.0,125,0,1.0,0.0,125,0,1.0,0.0
館,2,公館,19,0,1.0,0.0,19,0,1.0,0.0,19,0,1.0,0.0
館,2,分館,38,0,1.0,0.0,38,0,1.0,0.0,38,0,1.0,0.0
館,2,別館,94,0,1.0,0.0,94,0,1.0,0.0,94,0,1.0,0.0
館,2,旅館,622,0,1.0,0.0,623,0,1.0,0.0,623,0,1.0,0.0
館,2,旧館,25,0,1.0,0.0,25,0,1.0,0.0,25,0,1.0,0.0
館,2,本館,176,0,1.0,0.0,176,0,1.0,0.0,176,0,1.0,0.0
館,2,閉館,39,0,1.0,0.0,39,0,1.0,0.0,39,0,1.0,0.0
館,2,開館,200,0,1.0,0.0,200,0,1.0,0.0,200,0,1.0,0.0
館,3,体育館,550,0,1.0,0.0,550,0,1.0,0.0,550,0,1.0,0.0
館,3,公民館,537,0,1.0,0.0,537,0,1.0,0.0,537,0,1.0,0.0
館,3,区民館,8,0,1.0,0.0,8,0,1.0,0.0,8,0,1.0,0.0
館,3,博物館,688,0,1.0,0.0,688,0,1.0,0.0,688,0,1.0,0.0
館,3,図書館,747,0,1.0,0.0,747,0,1.0,0.0,747,0,1.0,0.0
館,3,大使館,340,0,1.0,0.0,340,0,1.0,0.0,339,1,0.9970588235294118,0.0029411764705882353
館,3,文書館,99,0,1.0,0.0,99,0,1.0,0.0,99,0,1.0,0.0
館,3,映画館,578,0,1.0,0.0,578,0,1.0,0.0,578,0,1.0,0.0
館,3,美術館,688,0,1.0,0.0,688,0,1.0,0.0,688,0,1.0,0.0
館,3,記念館,82,0,1.0,0.0,82,0,1.0,0.0,82,0,1.0,0.0
