,0
111,八重山毎日新聞オンラインｈｔｔｐ：／／ｗｗｗ．ｙ−ｍａｉｎｉｃｈｉ．ｃｏ．ｊｐ／ｎｅｗｓ／１３３４５／八重山日報ＭＥＷＳ．ＣＯＭｈｔｔｐ：／／ｗｗｗ．ｙａｅｙａｍａｎｉｐｐｏ−ｎｅｗｓ．ｃｏｍ／ｄｉａｒｙ．ｃｇｉ？ｎｏ＝１８９１＆ｃｏｎｔｉｎｕｅ＝ｏｎプロフィル石垣島に生まれる。七十歳。消防士の職にあった二十三歳のころ、書をたしなむ先輩の姿に男気を感じ日本習字
112,に緩やかにうねり、やがて溶けて消えてゆく。「火事や災害がなければ、消防士には仕事はない」小坂が呟いた。「そう。早い話が用なしだ
113,した左手の白い手首が力なく振られ、救出しようと両手で鉄骨を支え続ける一人の消防士。噴煙が上がる途方もない瓦礫の山で、消防士たちの決死の救助作業は続く
114,安否確認などの業務を続けている。隣国オーストリアもドナウ川の堤防が決壊し約六万人が避難、消防士など七人が死亡した。ドイツ東部ザクセン州のエルベ川も増水し、十三日だけで二人が死亡、七人
115,無理に隠す必要はありません。歴史この昔からある手品は、船乗りや消防士も覚えさせられました。というのも、この『結び』を使えば、巻い
116,採用予定数３名程度受験資格昭和五十八年４月２日から平成３年４月１日までに生まれた者消防吏員試験区分消防吏員（消防士）採用予定数１名程度受験資格昭和五十八年４月２日から平成３年４月１日までに生まれた深夜勤務ができる
117,が当時の学校の先生に相談して、彼女にすすめられたＥｄＥｍｂｅｒｌｅｙの、消防士の描き方を示した絵本を僕に買ってくれたんだ。その本がすっごく気に
118,です。彼はどういう風に思ってるかはわかりません。彼の仕事は消防士なので朝９時からの二十四時間勤務です。次の日は休みです。やっぱり疲れてると
119,「神に祈るしかないよ」おれはいって完全にグロッキーのファーマーを、消防士のスタイルで肩にかつぎあげた。「なんとか脱出してもその時は骸骨をかつい
120,、救助用ロープが五十メートル弱。それから斧とバールを合わせたようなハリガンもある。ヒュー・ハリガンという消防士が作って持ち歩いたことから、ハリガンと呼ばれているのだ。これで開けられない
