,0
117,一摑みにしておこう、と修作は決めた。再び右手をボックスの上に差出し、ガムテープの口の上に置く。ガムテープで形成された口を指でなぞる。
118,近寄ってきた。佐々木君の名を言うと、曖昧に頷き、初診用の紙を差出し、「そこで待っていてください」と、壁添いに四脚ほど並んでいる木の
119,にせず、食べてくれている。「はい、お茶。」わたしが左手で差出す湯のみを夢水さんは返事もせずにうけとる。（口にいっぱいごはんがはいってるから、
120,。そしてその男は、おそらくイギリスの査証がもらいたかったのであろう、一通のパスポートを差出した。フィックスはなにげなくパスポートを手にとって、すばやくその身体欄を読んだ。
121,を出して、十ドルの軍票を渡した。老婆はレ・ナーに奇麗なシーツを差出した。部屋はベッドのシーツをカーテン代わりに吊って区分けされていて、多少なり
122,、この神に御用件をお書きください」そう言うと、彼女はその紙を僕に差出した。真っ白なただの紙。「お客様のご要望を何なりとお書きいただき、フロント
123,。ポール・ネルトーを紹介するよ、司法警察第一課の警部だ」ポールはとまどいつつ、手を差出したが、相手は握り返してこなかった。偽の笑顔とタバコの煙に満ち
124,「肚立ちまぎれにストーブをガンガン燃してやろうと…」そういいながら、空のマッチ箱を差出した。「この前きたとき、やつが薪を入れる箱に放り込んだもの
125,と探ると、札入れを取り出した。その中から、名刺を一枚つまみだし、兵隊に差出す。「私の名刺だ。中隊長殿に見せてくれ。それで信用されないようだっ
126,あって、初めからみなうちとけている。「いらっしゃい」最後に紙谷が手を差出した。「またお邪魔に来ました」紙谷は美砂の手を握りながら
127,。彼らはそのことを知ったら、怒るだろうね。だけど、私がこの身を差出せば…私の知識と経験を提供するといえば、彼らも納得するだろう。私の
128,ようになりました」．未来のリーダーは無意味な存在として無条件に傷つきやすい自分を差出す．『平和への道』ヘンリ・ナウエン（広戸直江訳）問：女性が社会進出するときの不利
129,糞だってオイラには大事でさァ」その大事な布を沢は土方に差出す。これを使ってくれというのだ。「いいのか」「へい」「すまない
130,が早えからさ」「心配するなって」「わかったよ」鳴海は、差出された車の鍵を受け取った。八木が一階で降りた。鳴海は地下駐車場
131,としても、それと同じことが、日本国が保有し、日本国が国連あるいは他の外国組織に差出そうとする自衛隊についてもいえるとは、とうてい考えられません（さきほど述べたことで
132,やタオルはすべて琥珀パウダー入りで、そのパワーのおかげでしょうか、「終わりました」と差出された鏡に映った私の肌は、ツヤツヤプルプル。「鏡に仕掛けがある
133,のように目の前にかざすと、折り目をつけて引きちぎり、一方をガンザに差出した。賄賂を、彼はためらうことなく受け取った。嬉しそうに顕微鏡から離れ、
134,、なされるがままになっていた。この人が唇を求めれば、唇を差出しましょう。この人が指先を求めれば、指先を差出しましょう。この人が、仮
135,ない。自分の恐怖の記憶に、我輩の侵入を許している。我輩に武器を差出している！」ハリーは再び立ち上がった。たったいま、墓場でセドリックの死体を本当
136,齧り、もう一つつまみ、「一つ、やりますか」と、鼻のところに差出してきた。「これは、どうも」受取って食べはじめてみたが、患者
137,チョコレートを取り出し、半分に割った。「食べる？」「頼むよ」ブーターは差出されたかけらに向かって口を開いた。苦味のある甘さは、聖餐式のパン
138,事項を記入してください。それが正確でしたら、百パーセントお探しします」香代は受付用紙を差出し、あらためて女性をみつめた。和服のセンスもそうだが、膝のうえに
139,。」由加利は絞りたてのジュースを氷を入れたグラスに注ぎ、京子の前に差出した。「ごめんね、余計な心配かけちゃって。京子ちゃんの言ったとおり、礼子さん
140,をお見せしましょう」訝る若侍の眼の前に、筆と墨壺と白い和紙が差出されたのは、数秒後のことであった。「その筆でこの紙に、
141,）正月二十二日に、「町方三役」（問屋役一人・名主役二人）の一人であった池上利右衛門が藩役所に差出した「書上」によると、「御拝地より正徳年中までの御用弁の義町役人へ仰せ付けられ、町方
142,からの連絡を取り次がないようにと、日頃から国見は厳しく躾けていた。差出されたメモには「東京の日本工商会議所名誉顧問の龍崎一清様より、お電話がありました」と
143,御所からはさほど遠くない。もう少しで炭櫃の火に当たれるだろう。桂の差出す白湯の器で、冷たくなった指先を温めることができるだろう。遠くで、
144,「これがそうだ」野村は、その場で五万円の領収証を書いて差出した。「相変らず、ひどいなあ」「小遣いぐらいは、俺も欲しいんだよ
145,多様化することにより、リスクの分散が図れる、（ⅲ）株式等の発行については担保を差出す必要がないので、実物資産が少なくても資金調達できる、といったことが挙げられる。他方
146,ではエプロンを取り除いたウェイトレスが、歌いながらテーブルからテーブルへと歩きまわり、客の差出す杯を片はしから飲みほす。楽器の演奏のあい間には、ずらりと並んだいろんな種類
147,。アンナは目をあげて彼を見た。「もちろんよ」彼女は箱を差出した。彼は身を乗りだして深々と吸いこんだ。チャールズは深く腰かけ、まるで、
148,月餅でいいかしら」エマがぼくの分のお茶を注いでくれた。彼女の差出す月餅をかじり、お茶を飲んだ。プラムと胡桃を練りこんだ餡菓子はぼくの好物
149,ぬ様に―冬凍えた顔がある歩廊に鷺のように傾く羽根帽がある差出された青ざめた手がある低い煤煙のなかでガクリと信号機が折れ絶望の
150,を持ってきた。チェーンをはずして少しばかりドアを開き、レイは文庫本を差出した。レイは、油断していた。あるいは俊介を、舐めきっていたというべき
151,と、スミスが上機嫌で英二に握手を求めてきた。英二が手を差出すと、スミスは大袈裟なジェスチャーで右手を差出した。巨人たちの最初の握手である。
152,こうしていると楽しいね」ギジュが戻ってくると気まずかった雰囲気が一転した。差出された卵を見て、スヒョクとテヨンはあきれ返ってしまった。ギジュはなんと、ケースご
153,一杯ぐっとやって下さい…」孫珪道と名乗った男が、酒の入った木椀を差出した。この男、名を武という。珪道は字である。昭関に来
154,までタニマチにつけまわしすることをなんともおもわなくなってくる。若い刑事にとって、タニマチが差出す甘い餌がうまくないはずがない。於保は森川から浅間英典の名前を報告され
155,、という幻想を抱いた人によくある尊大な態度で、こっちに手を差出した。「おはよう、アレックス」長く伸ばした爪には、パールのマニキュアが
156,の必要最小限のもの」という、ともかくもの限定がついているのです。しかるに小沢さんが差出そうと規定する自衛隊部隊は、国連待機軍なり緊急展開部隊なりが効果的におこなおうとする純粋軍事的な性格の活動に
157,と思うが、押し入れの奥から古いアルバムを探しだしてくると、とつぜん一葉の写真を差出したのである。セピア色に染まったその写真には、たくさんの日本兵が銃をもって立ち、
158,、はじめて遺族に死亡証明書を送っている。思い詰めた孝順さんは、さっそく日本政府に対して質問状を差出した。それは兄の死に対する遺族の切ない抗議でもあった。「遺骨
159,の友の家に行った。彼らは彼に穀物の贈り物、収穫期の畑を差出した。彼はそれを受け取った。彼らは彼に水の贈り物、満ちあふれる川を
160,たかだ。きみは提案できるものをたくさん持っているじゃないか」リンゼイは手を差出して、チャーリーと握手した。「ありがとうございます。自分の力を試してみたかっ
